64.26835538,-168.9859272,Left
65.28842102,-168.1545477,Left
64.94293679,-167.7375857,Left
66.89281940,-168.0763723,Left
66.01714957,-166.8582529,Left
63.73823818,-168.0185705,Left
66.37094912,-168.2840790,Left                
64.65231866,-168.7909577,Left
64.83964259,-167.4063925,Left              
64.87132773,-167.5038561,Left
63.40843089,-168.2657546,Left
63.82529123,-168.0222082,Left
64.26881954,-168.5273433,Left
62.90209531,-168.9559234,Left
65.30645089,-168.6989679,Left
67.46645144,-167.3297315,Right
66.43911468,-168.8334738,Right
65.06259415,-167.8969892,Left
64.30177853,-167.3344855,Left
64.55612767,-169.2297598,Left
65.44553014,-168.4743440,Left
64.66343964,-169.3709241,Left
66.90020305,-166.8668914,Right
65.74657020,-168.2393184,Left
66.25616438,-167.1959893,Right
66.85414278,-168.9250109,Right
65.98079749,-168.8324541,Right
65.49252344,-167.2926570,Right
65.44174423,-167.0057315,Right
64.68164164,-168.3815854,Left
